name,version,directory,repository,summary,from package.json,from license,from readme
@capacitor/cli,5.7.5,/habitat/venues/frontend/vv_turbo/node_modules/@capacitor/cli,(none),MIT,MIT,MIT,
@capacitor/core,5.7.5,/habitat/venues/frontend/vv_turbo/node_modules/@capacitor/core,(none),MIT,MIT,MIT,
@esbuild/linux-x64,0.18.20,/habitat/venues/frontend/vv_turbo/apps/web/node_modules/vite/node_modules/esbuild/node_modules/@esbuild/linux-x64,(none),MIT,MIT,,
@heroicons/vue,2.1.3,/habitat/venues/frontend/vv_turbo/node_modules/@heroicons/vue,(none),MIT,MIT,MIT,MIT
@medical-district/db,0.0.9,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/db,(none),Plant stem cell license,Plant stem cell license,,
@medical-district/rhythm-filter,3.0.0,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter,(none),Plant stem cell license,Plant stem cell license,,
@medical-district/system,0.0.4,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/system,(none),plant stem cyte license,plant stem cyte license,,
@pontem/aptos-wallet-adapter,0.10.1,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter,(none),MIT,MIT,,
@tabler/icons,2.47.0,/habitat/venues/frontend/vv_turbo/node_modules/@tabler/icons,(none),MIT,MIT,MIT,
@tabler/icons,3.3.0,/habitat/venues/frontend/vv_turbo/node_modules/@tabler/icons-vue/node_modules/@tabler/icons,(none),MIT,MIT,MIT,
@tabler/icons-vue,3.3.0,/habitat/venues/frontend/vv_turbo/node_modules/@tabler/icons-vue,(none),MIT,MIT,MIT,
@types/node,18.8.1,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/@types/node,(none),MIT,MIT,MIT,
@types/node,20.12.11,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@types/node,(none),MIT,MIT,MIT,
@vitest/expect,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/expect,(none),MIT,MIT,MIT,
@vitest/runner,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/runner,(none),MIT,MIT,MIT,
@vitest/snapshot,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/snapshot,(none),MIT,MIT,MIT,
@vitest/spy,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/spy,(none),MIT,MIT,MIT,
@vitest/utils,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/utils,(none),MIT,MIT,MIT,
@vue/compiler-core,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/compiler-dom/node_modules/@vue/compiler-core,(none),MIT,MIT,MIT,
@vue/compiler-dom,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/compiler-dom,(none),MIT,MIT,MIT,
@vue/compiler-sfc,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/compiler-sfc,(none),MIT,MIT,MIT,
@vue/compiler-ssr,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/compiler-sfc/node_modules/@vue/compiler-ssr,(none),MIT,MIT,MIT,
@vue/reactivity,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/runtime-dom/node_modules/@vue/runtime-core/node_modules/@vue/reactivity,(none),MIT,MIT,MIT,
@vue/runtime-core,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/runtime-dom/node_modules/@vue/runtime-core,(none),MIT,MIT,MIT,
@vue/runtime-dom,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/runtime-dom,(none),MIT,MIT,MIT,
@vue/server-renderer,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/server-renderer,(none),MIT,MIT,MIT,
@vue/shared,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/shared,(none),MIT,MIT,MIT,
animejs,3.2.2,/habitat/venues/frontend/vv_turbo/node_modules/animejs,(none),MIT,MIT,MIT,
ansi-styles,5.2.0,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/utils/node_modules/pretty-format/node_modules/ansi-styles,(none),MIT,MIT,MIT,
ant-design-vue,4.2.1,/habitat/venues/frontend/vv_turbo/node_modules/ant-design-vue,(none),MIT,MIT,MIT,
apexcharts,3.49.0,/habitat/venues/frontend/vv_turbo/node_modules/apexcharts,(none),MIT,MIT,MIT,MIT
assert,2.1.0,/habitat/venues/frontend/vv_turbo/node_modules/assert,(none),MIT,MIT,,MIT
async,3.2.5,/habitat/venues/frontend/vv_turbo/node_modules/async,(none),MIT,MIT,,
chart.js,4.4.2,/habitat/venues/frontend/vv_turbo/node_modules/chart.js,(none),MIT,MIT,MIT,
chartjs-plugin-datalabels,2.2.0,/habitat/venues/frontend/vv_turbo/node_modules/chartjs-plugin-datalabels,(none),MIT,MIT,MIT,
chartjs-plugin-labels,1.1.0,/habitat/venues/frontend/vv_turbo/node_modules/chartjs-plugin-labels,(none),MIT,MIT,MIT,
chroma-js,2.4.2,/habitat/venues/frontend/vv_turbo/node_modules/chroma-js,(none),(BSD-3-Clause AND Apache-2.0),(BSD-3-Clause AND Apache-2.0),,
color,4.2.3,/habitat/venues/frontend/vv_turbo/node_modules/color,(none),MIT,MIT,,
commander,9.5.0,/habitat/venues/frontend/vv_turbo/node_modules/@capacitor/cli/node_modules/commander,(none),MIT,MIT,MIT,
csstype,2.6.21,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/runtime-dom/node_modules/csstype,(none),MIT,MIT,,
d3,7.9.0,/habitat/venues/frontend/vv_turbo/node_modules/d3,(none),ISC,ISC,,
esbuild,0.18.20,/habitat/venues/frontend/vv_turbo/apps/web/node_modules/vite/node_modules/esbuild,(none),MIT,MIT,MIT,
fraction.js,4.3.7,/habitat/venues/frontend/vv_turbo/node_modules/fraction.js,(none),MIT,MIT,MIT,MIT
granim,2.0.0,/habitat/venues/frontend/vv_turbo/node_modules/granim,(none),MIT,MIT,MIT,
jparticles,3.5.0,/habitat/venues/frontend/vv_turbo/node_modules/jparticles,(none),MIT,MIT,MIT,
lodash,4.17.21,/habitat/venues/frontend/vv_turbo/node_modules/lodash,(none),MIT,MIT,,
magic-string,0.25.9,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue/node_modules/@vue/compiler-sfc/node_modules/magic-string,(none),MIT,MIT,,MIT
mercantile,3.0.0,/habitat/venues/frontend/vv_turbo/node_modules/mercantile,(none),ISC,ISC,,
ol,8.2.0,/habitat/venues/frontend/vv_turbo/node_modules/ol,(none),BSD;BSD-2-Clause,BSD-2-Clause,BSD,
oxlint,0.2.18,/habitat/venues/frontend/vv_turbo/node_modules/oxlint,(none),MIT,MIT,,
patternomaly,1.3.2,/habitat/venues/frontend/vv_turbo/node_modules/patternomaly,(none),MIT,MIT,MIT,
pinia,2.0.22,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/pinia,(none),MIT,MIT,MIT,
pinia,2.1.7,/habitat/venues/frontend/vv_turbo/node_modules/pinia,(none),MIT,MIT,MIT,
pretty-format,29.7.0,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/utils/node_modules/pretty-format,(none),MIT,MIT,MIT,
procedures,1.1.0,/habitat/venues/frontend/vv_turbo/node_modules/procedures,(none),ISC,ISC,,
react,18.3.1,/habitat/venues/frontend/vv_turbo/node_modules/react,(none),MIT,MIT,MIT,
react-dom,18.3.1,/habitat/venues/frontend/vv_turbo/node_modules/react-dom,(none),MIT,MIT,MIT,
react-is,18.3.1,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/@vitest/utils/node_modules/pretty-format/node_modules/react-is,(none),MIT,MIT,MIT,
remixicon,3.7.0,/habitat/venues/frontend/vv_turbo/node_modules/remixicon,(none),Apache;Apache 2.0,Apache 2.0,Apache,
rollup,3.29.4,/habitat/venues/frontend/vv_turbo/apps/web/node_modules/vite/node_modules/rollup,(none),ISC;MIT,MIT,ISC;MIT,
sparticles,1.3.1,/habitat/venues/frontend/vv_turbo/node_modules/sparticles,(none),MPL;MPL-2.0,MPL-2.0,MPL,
swiper,11.1.1,/habitat/venues/frontend/vv_turbo/node_modules/swiper,(none),MIT,MIT,MIT,
textures,1.2.3,/habitat/venues/frontend/vv_turbo/node_modules/textures,(none),MIT,MIT,MIT,MIT
three,0.162.0,/habitat/venues/frontend/vv_turbo/node_modules/three,(none),MIT;Public Domain,MIT,MIT,Public Domain
tinypool,0.7.0,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/tinypool,(none),MIT,MIT,MIT,
vant,4.9.0,/habitat/venues/frontend/vv_turbo/node_modules/vant,(none),MIT,MIT,MIT,
vanta,0.5.24,/habitat/venues/frontend/vv_turbo/node_modules/vanta,(none),MIT,MIT,,
vis-network,9.1.9,/habitat/venues/frontend/vv_turbo/node_modules/vis-network,(none),(Apache-2.0 OR MIT);Apache;MIT,(Apache-2.0 OR MIT),Apache;MIT,MIT
vite,4.5.3,/habitat/venues/frontend/vv_turbo/apps/web/node_modules/vite,https://github.com/vitejs/vite,Apache;ISC;MIT,MIT,Apache;ISC;MIT,
vite-node,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest/node_modules/vite-node,(none),MIT,MIT,MIT,
vitest,0.34.6,/habitat/venues/frontend/vv_turbo/node_modules/@medical-district/rhythm-filter/node_modules/vitest,(none),Apache;BSD;ISC;MIT,MIT,Apache;BSD;ISC;MIT,
vue,3.2.40,/habitat/venues/frontend/vv_turbo/node_modules/@pontem/aptos-wallet-adapter/node_modules/vue,(none),MIT,MIT,MIT,
vue,3.4.27,/habitat/venues/frontend/vv_turbo/node_modules/vue,(none),MIT,MIT,MIT,
vue-chartjs,5.3.1,/habitat/venues/frontend/vv_turbo/node_modules/vue-chartjs,(none),MIT,MIT,MIT,
vue-good-table,2.21.11,/habitat/venues/frontend/vv_turbo/node_modules/vue-good-table,(none),MIT,MIT,MIT,MIT
vue-router,4.3.2,/habitat/venues/frontend/vv_turbo/node_modules/vue-router,(none),MIT,MIT,MIT,
vue3-table-lite,1.4.0,/habitat/venues/frontend/vv_turbo/node_modules/vue3-table-lite,(none),MIT,MIT,MIT,
web,0.0.0,/habitat/venues/frontend/vv_turbo/apps/web,(none),MIT,,MIT,
